c1;c2;c3;c4;c5;score_cv;score_test
4;10;0,5;0,6;0,9;0,809090875;0,811659193
4;10;0,6;0,5;0,9;0,800081375;0,811659193
4;10;0,7;0,6;0,7;0,802435;0,811659193
4;10;0,7;0,8;0,9;0,820170625;0,811659193
4;10;0,7;0,9;0,5;0,822646;0,811659193
4;10;0,7;0,9;0,7;0,8248375;0,811659193
4;10;0,9;0,5;0,9;0,788717625;0,811659193
4;11;0,2;0,6;0,8;0,809050375;0,811659193
4;11;0,5;0,6;0,9;0,809090875;0,811659193
4;11;0,6;0,5;0,9;0,800081375;0,811659193
4;11;0,7;0,6;0,7;0,79797075;0,811659193
4;11;0,7;0,8;0,5;0,797686875;0,811659193
4;11;0,7;0,8;0,9;0,820211125;0,811659193
4;11;0,7;0,9;0,5;0,822605375;0,811659193
4;11;0,9;0,5;0,9;0,788717625;0,811659193
4;12;0,2;0,6;0,8;0,809050375;0,811659193
4;12;0,5;0,6;0,9;0,809090875;0,811659193
4;12;0,6;0,5;0,9;0,800081375;0,811659193
4;12;0,7;0,6;0,7;0,79797075;0,811659193
4;12;0,7;0,8;0,5;0,799959625;0,811659193
4;12;0,7;0,8;0,9;0,820211125;0,811659193
4;12;0,7;0,9;0,5;0,822605375;0,811659193
4;12;0,8;0,8;0,7;0,7641235;0,811659193
4;12;0,9;0,5;0,9;0,788717625;0,811659193
4;13;0,2;0,6;0,8;0,809050375;0,811659193
4;13;0,5;0,6;0,9;0,809090875;0,811659193
4;13;0,6;0,5;0,9;0,800081375;0,811659193
4;13;0,7;0,6;0,7;0,79797075;0,811659193
4;13;0,7;0,8;0,5;0,799959625;0,811659193
4;13;0,7;0,8;0,9;0,820211125;0,811659193
4;13;0,7;0,9;0,5;0,822605375;0,811659193
4;13;0,8;0,8;0,7;0,7641235;0,811659193
4;13;0,9;0,5;0,9;0,788717625;0,811659193
4;4;0,3;0,8;0,4;0,80900975;0,80941704
4;4;0,5;0,4;0,7;0,793262875;0,80941704
4;4;0,5;0,5;0,9;0,79983775;0,80941704
4;4;0,6;0,9;0,9;0,820251875;0,80941704
4;4;0,7;0,8;0,4;0,808807;0,80941704
4;4;0,8;0,6;0,9;0,804586;0,80941704
4;4;0,8;0,9;0,6;0,81116075;0,80941704
4;4;0,8;0,9;0,7;0,82471575;0,80941704
4;4;0,9;0,7;0,4;0,784131625;0,80941704
4;4;0,9;0,8;0,5;0,793222375;0,80941704
4;4;0,9;0,9;0,5;0,82694825;0,80941704
4;5;0,2;0,9;0,9;0,80462675;0,80941704
4;5;0,4;0,9;0,9;0,822524375;0,80941704
4;5;0,7;0,6;0,4;0,804626375;0,80941704
4;5;0,7;0,6;0,5;0,802353875;0,80941704
4;5;0,7;0,9;0,6;0,813474;0,80941704
4;5;0,9;0,5;0,5;0,804383125;0,80941704
4;5;0,9;0,8;0,9;0,8269075;0,80941704
4;6;0,3;0,4;0,6;0,81351475;0,80941704
4;6;0,3;0,9;0,6;0,81140425;0,80941704
4;6;0,3;0,9;0,8;0,809050375;0,80941704
4;6;0,4;0,8;0,8;0,806777625;0,80941704
4;6;0,4;0,9;0,4;0,822646125;0,80941704
4;6;0,4;0,9;0,5;0,827110375;0,80941704
4;6;0,4;0,9;0,9;0,827069875;0,80941704
4;6;0,5;0,4;0,8;0,795495;0,80941704
4;6;0,6;0,5;0,7;0,79334425;0,80941704
4;6;0,6;0,6;0,9;0,802272625;0,80941704
4;6;0,7;0,5;0,6;0,788758125;0,80941704
4;6;0,7;0,6;0,7;0,8247565;0,80941704
4;6;0,7;0,8;0,5;0,826866875;0,80941704
4;6;0,8;0,5;0,5;0,79553575;0,80941704
4;6;0,9;0,8;0,7;0,824756625;0,80941704
4;7;0,2;0,9;0,6;0,81814125;0,80941704
4;7;0,3;0,4;0,7;0,8157875;0,80941704
4;7;0,3;0,4;0,8;0,818060125;0,80941704
4;7;0,3;0,9;0,9;0,80905025;0,80941704
4;7;0,4;0,8;0,4;0,811120125;0,80941704
4;7;0,4;0,8;0,5;0,80661525;0,80941704
4;7;0,4;0,8;0,6;0,811160625;0,80941704
4;7;0,4;0,8;0,8;0,813392875;0,80941704
4;7;0,4;0,9;0,5;0,82491875;0,80941704
4;7;0,4;0,9;0,9;0,8181005;0,80941704
4;7;0,5;0,4;0,8;0,804626625;0,80941704
4;7;0,5;0,9;0,9;0,83819;0,80941704
4;7;0,6;0,9;0,9;0,817978875;0,80941704
4;7;0,7;0,5;0,4;0,80442375;0,80941704
4;7;0,7;0,5;0,8;0,811201375;0,80941704
4;7;0,7;0,5;0,9;0,802313375;0,80941704
4;7;0,7;0,8;0,5;0,78648525;0,80941704
4;7;0,7;0,9;0,5;0,81814125;0,80941704
4;7;0,8;0,9;0,5;0,809050375;0,80941704
4;8;0,2;0,9;0,5;0,8226055;0,80941704
4;8;0,2;0,9;0,6;0,820373375;0,80941704
4;8;0,3;0,4;0,7;0,8157875;0,80941704
4;8;0,3;0,4;0,8;0,820292375;0,80941704
4;8;0,3;0,9;0,7;0,811322875;0,80941704
4;8;0,3;0,9;0,8;0,811241875;0,80941704
4;8;0,3;0,9;0,9;0,813514625;0,80941704
4;8;0,4;0,6;0,4;0,818141125;0,80941704
4;8;0,4;0,8;0,4;0,8088475;0,80941704
4;8;0,5;0,4;0,8;0,795535625;0,80941704
4;8;0,6;0,6;0,7;0,81124175;0,80941704
4;8;0,6;0,6;0,9;0,815827875;0,80941704
4;8;0,6;0,8;0,4;0,813392875;0,80941704
4;8;0,6;0,9;0,5;0,82706975;0,80941704
4;8;0,7;0,8;0,8;0,831331375;0,80941704
4;8;0,7;0,9;0,4;0,820292125;0,80941704
4;8;0,7;0,9;0,5;0,809171875;0,80941704
4;8;0,8;0,9;0,6;0,818100625;0,80941704
4;8;0,9;0,9;0,9;0,8156655;0,80941704
4;9;0,2;0,9;0,7;0,820373375;0,80941704
4;9;0,3;0,4;0,7;0,8157875;0,80941704
4;9;0,3;0,4;0,8;0,820292375;0,80941704
4;9;0,3;0,9;0,7;0,811322875;0,80941704
4;9;0,3;0,9;0,8;0,811241875;0,80941704
4;9;0,3;0,9;0,9;0,81355525;0,80941704
4;9;0,4;0,8;0,8;0,815665625;0,80941704
4;9;0,5;0,4;0,8;0,795535625;0,80941704
4;9;0,5;0,8;0,4;0,8089285;0,80941704
4;9;0,5;0,9;0,7;0,820251625;0,80941704
4;9;0,5;0,9;0,8;0,81116075;0,80941704
4;9;0,6;0,5;0,7;0,7889205;0,80941704
4;9;0,6;0,6;0,9;0,81359575;0,80941704
4;9;0,6;0,8;0,4;0,822402625;0,80941704
4;9;0,6;0,9;0,5;0,81810075;0,80941704
4;9;0,7;0,6;0,6;0,789001625;0,80941704
4;9;0,7;0,6;0,7;0,804667125;0,80941704
4;9;0,7;0,9;0,8;0,813676875;0,80941704
4;9;0,8;0,8;0,9;0,80450475;0,80941704
4;9;0,8;0,9;0,4;0,813514625;0,80941704
4;9;0,9;0,8;0,9;0,804504875;0,80941704
4;9;0,9;0,9;0,4;0,809172125;0,80941704
4;10;0,2;0,9;0,7;0,820373375;0,80941704
4;10;0,3;0,4;0,7;0,8157875;0,80941704
4;10;0,3;0,4;0,8;0,820292375;0,80941704
4;10;0,3;0,9;0,6;0,80462675;0,80941704
4;10;0,3;0,9;0,9;0,81355525;0,80941704
4;10;0,4;0,6;0,5;0,824837625;0,80941704
4;10;0,4;0,8;0,8;0,815665625;0,80941704
4;10;0,5;0,4;0,8;0,795535625;0,80941704
4;10;0,5;0,8;0,7;0,806615125;0,80941704
4;10;0,6;0,5;0,7;0,78664775;0,80941704
4;10;0,6;0,6;0,5;0,817978875;0,80941704
